project_code,year,title,director,keywords,amount,area,start_date,end_date
D00I1004,2000,Mejoramiento De La Gestion De Produccion En La Construccion,Luis Alarcon Cardenas,"Mejoramiento, Produccion, Construccion",150000.0,Infraestructura,6/1/2001,5/31/2003
D00I1009,2000,Extractos De Quillay Para El Control De Neblina Acida En Procesos Electroliticos,Ricardo San Martin Gamboa,"Saponinas, Neblina Acida, Electro-Obtencion",105000.0,Tic,5/23/2001,11/23/2002
D00I1011,2000,Sistemas Estandarizados De Drenaje De Aguas Lluvias Para Urbanizaciones Y Viviendas,Bonifacio Fernandez Larrañaga,"Drenaje, Aguas Lluvias, Urbanizaciones",219000.0,Infraestructura,7/1/2001,7/1/2004
D00I1013,2000,Vinificacion: Desarrollo De Tecnologias Avanzadas Y Optimizacion,Eduardo Agosin Trumper,"Vinificacion, Fermentacion, Cosecha",296000.0,Otros,4/27/2001,7/31/2004
D00I1018,2000,Desarrollo De Nuevas Funciones Para El Monitor Hidroacustico De Alimentacion De Salmones (Fondef D97I2020) A Fin De Optimizar El Proceso De Alimentacion,Jorge Castillo Pizarro,"Monitor, Alimentacion, Salmones",180000.0,Pesca Y Acuicultura,6/18/2001,8/28/2006
D00I1019,2000,Cultivo Del Recurso Loco (Concholepas Concholepas) Como Alternativa De Abastecimiento De Materia Prima Para La Industria Procesadora De Recursos Hidrobiologicos,Enrique Lara Ham,"Cultivo, Loco, Alimento Artificial",247000.0,Agropecuaria,4/18/2001,9/30/2005
D00I1024,2000,"Desarrollo De Riskamerica.Com Munity: Diseño, Construccion Y Generacion De Contenidos De Un Sitio Web Para La Gestion Del Riesgo De Empresas Nacionales E Internacionales",Gonzalo Cortazar Sanz,"Gestion, Riesgo, Internet",134000.0,Tic,5/28/2001,11/28/2003
D00I1025,2000,Promocion De La Salud Del Adolescente Fomentando El Rol De La Proteccion Familiar,Sergio Florenzano Urzua,"Familia, Adolescencia, Promocion De La Salud",255000.0,Salud,7/11/2001,8/11/2003
D00I1026,2000,Redes Opticas Para Internet Del Futuro,Walter Grote Hahn,"Redes, Opticas, Internet",276000.0,Tic,10/1/2001,7/31/2004
D00I1027,2000,Desarrollo De Tecnologia Limpia Para El Control De Problemas Fitosanitarios En Postcosecha De Frutos De Exportacion Mediante El Uso De Substancias Naturales,Manuel Young Anze,"Producto Natural, Postcosecha, Patogenos",81000.0,Otros,7/26/2001,1/26/2003
D00I1033,2000,Estudio Y Desarrollo De Modelos Asociativos Universidad-Empresa Para La Formacion De Profesionales En Transporte Aereo,Fernando Carvajal Guerra,"Transporte, Profesionales, Formacion",80000.0,Otros,8/1/2001,4/30/2003
D00I1036,2000,Captura De Genotipos Para El Desarrollo De Una Raza De Eucalyptus Globulus Tolerante Al Frio,Braulio Gutierrez Caro,"E. Globulus, Frio, Clonacion",182000.0,Otros,4/27/2001,7/27/2005
D00I1039,2000,"Determinacion De Los Estandares De Bienestar Habitacional, Para Mejorar La Calidad De La Construccion De Viviendas En Chile",Emilio Moreno Hozven,"Construccion, Bienestar, Habitacional",202000.0,Infraestructura,4/26/2001,8/26/2004
D00I1041,2000,Innovacion Tecnologica Y Comercial De Productos Forestales No Madereros (Pfnm) En Chile,Gerardo Valdebenito Rebolledo,"Productos Forestales, Tecnologia, Gestion",150000.0,Forestal,10/1/2001,12/31/2004
D00I1042,2000,Metodologia Para La Evaluacion Del Riesgo Ambiental De Los Metales En Suelos Impactados Por La Mineria,Patricio Rodriguez Neira,"Metales, Fitosensores, Medio Ambiente",140000.0,Agropecuaria,7/1/2001,7/1/2003
D00I1043,2000,Produccion Y Transferencia De Un Modelo Educativo Conversacional En Sexualidad Y Salud Reproductiva Dirigido A Jovenes,Irma Palma Manriquez,"Educacion, Modelo Conversacional, Ssr3",150000.0,Salud,6/5/2001,6/5/2003
D00I1045,2000,"Diseño, Desarrollo Y Validacion De Un Modelo Actualizacion Docente Permanente De Tipo Virtual En El Contexto De La Reforma Educacional Para Profesores Del Area Tecnico Profesional:Objetivos Fundamentales Transversales Y Terminales, Metod.",Eduardo Meyer Aguilera,"Reforma Educacional, Educacion Para El Trabajo, Objetivos Transversales",200000.0,Educación,8/1/2001,10/30/2004
D00I1047,2000,La Aplicacion Del Paradigma De Las Inteligencias Multiples En El Mejoramiento De La Calidad De La Educacion Basica Y Media Y De La Orientacion Vocacional,Julio Castillo Narvaez,"Inteligencias Multiples, Calidad, Educacion",80000.0,Tic,5/18/2001,5/18/2002
D00I1048,2000,Desarrollo De Comunicaciones Multimediales Sobre Redes Inalambricas,Eduardo Vera Sobrino,"Inalambrica, Multimedia, Comunicaciones",244000.0,Tic,10/1/2001,12/31/2003
D00I1050,2000,Desarrollo De Metodologias Quimico/Computacionales Para Optimizar La Operacion De Biolixivacion De Concentrados De Calcopirita Y Enargita Con Microorganismos Termofilos,Tomas Vargas Valero,"Biolixiviacion, Calcopirita, Enargita",268000.0,Minería,7/1/2001,1/30/2006
D00I1068,2000,"Modelos De Dinamica De Interfases En Fenomenos De Fusion, Conversion Y Refino De Cobre",Carlos Conca Rosende,"Pirometalurgia, Fluidodinamica, Simulacion Computacional",246000.0,Minería,10/1/2001,5/31/2004
D00I1073,2000,"Aprender Matematica Creando Soluciones: Desarrollo De Un Modelo Interactivo Para El Aprendizaje Matematico, De Bajo Costo Y Alto Impacto Para Profesores Y Estudiantes De Septimo Basico Y Segundo Medio",Fidel Oteiza Morra,"Aprendizaje, Matematico, Interactivo",218000.0,Tic,7/1/2001,3/31/2005
D00I1075,2000,"Fabricacion De Madera Laminada Encolada, De Bajo Costo, Para El Sector Construccion Nacional E Internacional",Vicente Perez Galaz,"Madera, Costo, Construccion",229000.0,Forestal,5/8/2001,11/8/2003
D00I1078,2000,Desarrollo De Un Sistema De Gestion De La Vegetacion Urbana Con Fines De Descontaminacion Atmosferica Y De Apoyo A La Toma De Decisionesa Nivel Municipal,Carmen De La Maza Asquet,"Medio Ambiente, Manejo Arbolado Urbana, Especies Vegetales",170000.0,Forestal,4/27/2001,6/30/2004
D00I1080,2000,Reformulacion De Las Pruebas De Seleccion A La Educacion Superior,David Bravo Urrutia,"Reformulacion, Seleccion, Educacion Superior",261000.0,Educación,8/3/2001,8/3/2003
D00I1084,2000,Desarrollo De Cultivos De Peces Marinos De Aguas Frias,Alberto Augsburger Bachmann,"Acuicultura, Peces, Pesca",248000.0,Agropecuaria,9/5/2001,7/5/2004
D00I1091,2000,Desarrollo De Prototipo Para Monitores De Parametros De Calidad De Efluentes Liquidos Contaminantes,Raul Galindo Urra,"Prototipo, Monitoreo, Sensores Y Biosensores",151000.0,Otros,5/28/2001,7/30/2005
D00I1096,2000,"Valorizacion De Residuos Del Proceso Kraft De Pulpeo De La Celulosa Para La Elaboracion Mediante Biocatalisis De Productos Para La Industria De Aromas, Farmaceutica Y Nutraceutica",Andres Markovits Schersl,"Biodesulfurizacion, Valorizacion De Residuos, Esterificacion Enzimatica",253000.0,Forestal,6/1/2001,7/30/2004
