"","","","","","","","","",""
"PROYECTOS DE INVESTIGACION Y DESARROLLO DESDE EL AÑO 2000","","","","","","","","",""
"(Los montos están en miles $)","","","","","","","","",""
"","","","","","","","","",""
"CODIGO","AÑO CONCURSO","TITULO","PALABRA CLAVE 1","PALABRA CLAVE 2","PALABRA CLAVE 3","DIRECTOR GENERAL","FECHA INICIO","FECHA TERMINO","MONTO ADJ. FONDEF"
"D00I1004","2000","MEJORAMIENTO DE LA GESTION DE PRODUCCION EN LA CONSTRUCCION ","MEJORAMIENTO","PRODUCCION","CONSTRUCCION","LUIS ALARCON CARDENAS","6/1/2001","5/31/2003","150.000"
"D00I1009","2000","EXTRACTOS DE QUILLAY PARA EL CONTROL DE NEBLINA ACIDA EN PROCESOS ELECTROLITICOS ","SAPONINAS","NEBLINA ACIDA","ELECTRO-OBTENCION","RICARDO SAN MARTIN GAMBOA","5/23/2001","11/23/2002","105.000"
"D00I1011","2000","SISTEMAS ESTANDARIZADOS DE DRENAJE DE AGUAS LLUVIAS PARA URBANIZACIONES Y VIVIENDAS ","DRENAJE","AGUAS LLUVIAS","URBANIZACIONES","BONIFACIO FERNANDEZ LARRAÑAGA","7/1/2001","7/1/2004","219.000"
"D00I1013","2000","VINIFICACION: DESARROLLO DE TECNOLOGIAS AVANZADAS Y OPTIMIZACION ","VINIFICACION","FERMENTACION","COSECHA","EDUARDO AGOSIN TRUMPER","4/27/2001","7/31/2004","296.000"
"D00I1018","2000","DESARROLLO DE NUEVAS FUNCIONES PARA EL MONITOR HIDROACUSTICO DE ALIMENTACION DE SALMONES (FONDEF D97I2020) A FIN DE OPTIMIZAR EL PROCESO DE ALIMENTACION","MONITOR","ALIMENTACION","SALMONES","JORGE CASTILLO PIZARRO","6/18/2001","8/28/2006","180.000"
"D00I1019","2000","CULTIVO DEL RECURSO LOCO (CONCHOLEPAS CONCHOLEPAS) COMO ALTERNATIVA DE ABASTECIMIENTO DE MATERIA PRIMA PARA LA INDUSTRIA PROCESADORA DE RECURSOS HIDROBIOLOGICOS","CULTIVO","LOCO","ALIMENTO ARTIFICIAL","ENRIQUE LARA HAM","4/18/2001","9/30/2005","247.000"
"D00I1024","2000","DESARROLLO DE RISKAMERICA.COM MUNITY: DISEÑO, CONSTRUCCION Y GENERACION DE CONTENIDOS DE UN SITIO WEB PARA LA GESTION DEL RIESGO DE EMPRESAS NACIONALES E INTERNACIONALES","GESTION","RIESGO","INTERNET","GONZALO CORTAZAR SANZ","5/28/2001","11/28/2003","134.000"
"D00I1025","2000","PROMOCION DE LA SALUD DEL ADOLESCENTE FOMENTANDO EL ROL DE LA PROTECCION FAMILIAR ","FAMILIA","ADOLESCENCIA","PROMOCION DE LA SALUD","SERGIO FLORENZANO URZUA","7/11/2001","8/11/2003","255.000"
"D00I1026","2000","REDES OPTICAS PARA INTERNET DEL FUTURO  ","REDES","OPTICAS","INTERNET","WALTER GROTE HAHN","10/1/2001","7/31/2004","276.000"
"D00I1027","2000","DESARROLLO DE TECNOLOGIA LIMPIA PARA EL CONTROL DE PROBLEMAS FITOSANITARIOS EN POSTCOSECHA DE FRUTOS DE EXPORTACION MEDIANTE EL USO DE SUBSTANCIAS NATURALES","PRODUCTO NATURAL","POSTCOSECHA","PATOGENOS","MANUEL YOUNG ANZE","7/26/2001","1/26/2003","81.000"
"D00I1033","2000","ESTUDIO Y DESARROLLO DE MODELOS ASOCIATIVOS UNIVERSIDAD-EMPRESA PARA LA FORMACION DE PROFESIONALES EN TRANSPORTE AEREO","TRANSPORTE","PROFESIONALES","FORMACION","FERNANDO CARVAJAL GUERRA","8/1/2001","4/30/2003","80.000"
"D00I1036","2000","CAPTURA DE GENOTIPOS PARA EL DESARROLLO DE UNA RAZA DE EUCALYPTUS GLOBULUS TOLERANTE AL FRIO ","E. GLOBULUS","FRIO","CLONACION","BRAULIO GUTIERREZ CARO","4/27/2001","7/27/2005","182.000"
"D00I1039","2000","DETERMINACION DE LOS ESTANDARES DE BIENESTAR HABITACIONAL, PARA MEJORAR LA CALIDAD DE LA CONSTRUCCION DE VIVIENDAS EN CHILE","CONSTRUCCION","BIENESTAR","HABITACIONAL","EMILIO MORENO HOZVEN","4/26/2001","8/26/2004","202.000"
"D00I1041","2000","INNOVACION TECNOLOGICA Y COMERCIAL DE PRODUCTOS FORESTALES NO MADEREROS (PFNM) EN CHILE ","PRODUCTOS FORESTALES","TECNOLOGIA","GESTION","GERARDO VALDEBENITO REBOLLEDO","10/1/2001","12/31/2004","150.000"
"D00I1042","2000","METODOLOGIA PARA LA EVALUACION DEL RIESGO AMBIENTAL DE LOS METALES EN SUELOS IMPACTADOS POR LA MINERIA","METALES","FITOSENSORES","MEDIO AMBIENTE","PATRICIO RODRIGUEZ NEIRA","7/1/2001","7/1/2003","140.000"
"D00I1043","2000","PRODUCCION Y TRANSFERENCIA DE UN MODELO EDUCATIVO CONVERSACIONAL EN SEXUALIDAD Y SALUD REPRODUCTIVA DIRIGIDO A JOVENES","EDUCACION","MODELO CONVERSACIONAL","SSR3","IRMA PALMA MANRIQUEZ","6/5/2001","6/5/2003","150.000"
"D00I1045","2000","DISEÑO, DESARROLLO Y VALIDACION DE UN MODELO ACTUALIZACION DOCENTE PERMANENTE DE TIPO VIRTUAL EN EL CONTEXTO DE LA REFORMA EDUCACIONAL PARA PROFESORES DEL AREA TECNICO PROFESIONAL:OBJETIVOS FUNDAMENTALES TRANSVERSALES Y TERMINALES, METOD.","REFORMA EDUCACIONAL","EDUCACION PARA EL TRABAJO","OBJETIVOS TRANSVERSALES","EDUARDO MEYER AGUILERA","8/1/2001","10/30/2004","200.000"
"D00I1047","2000","LA APLICACION DEL PARADIGMA DE LAS INTELIGENCIAS MULTIPLES EN EL MEJORAMIENTO DE LA CALIDAD DE LA EDUCACION BASICA Y MEDIA Y DE LA ORIENTACION VOCACIONAL","INTELIGENCIAS MULTIPLES","CALIDAD","EDUCACION","JULIO CASTILLO NARVAEZ","5/18/2001","5/18/2002","80.000"
"D00I1048","2000","DESARROLLO DE COMUNICACIONES MULTIMEDIALES SOBRE REDES INALAMBRICAS ","INALAMBRICA","MULTIMEDIA","COMUNICACIONES","EDUARDO VERA SOBRINO","10/1/2001","12/31/2003","244.000"
"D00I1050","2000","DESARROLLO DE METODOLOGIAS QUIMICO/COMPUTACIONALES PARA OPTIMIZAR LA OPERACION DE BIOLIXIVACION DE CONCENTRADOS DE CALCOPIRITA Y ENARGITA CON MICROORGANISMOS TERMOFILOS","BIOLIXIVIACION","CALCOPIRITA","ENARGITA","TOMAS VARGAS VALERO","7/1/2001","1/30/2006","268.000"
"D00I1068","2000","MODELOS DE DINAMICA DE INTERFASES EN FENOMENOS DE FUSION, CONVERSION Y REFINO DE COBRE ","PIROMETALURGIA","FLUIDODINAMICA","SIMULACION COMPUTACIONAL","CARLOS CONCA ROSENDE","10/1/2001","5/31/2004","246.000"
"D00I1073","2000","APRENDER MATEMATICA CREANDO SOLUCIONES: DESARROLLO DE UN MODELO INTERACTIVO PARA EL APRENDIZAJE MATEMATICO, DE BAJO COSTO Y ALTO IMPACTO PARA PROFESORES Y ESTUDIANTES DE SEPTIMO BASICO Y SEGUNDO MEDIO","APRENDIZAJE","MATEMATICO","INTERACTIVO","FIDEL OTEIZA MORRA","7/1/2001","3/31/2005","218.000"
"D00I1075","2000","FABRICACION DE MADERA LAMINADA ENCOLADA, DE BAJO COSTO, PARA EL SECTOR CONSTRUCCION NACIONAL E INTERNACIONAL","MADERA","COSTO","CONSTRUCCION","VICENTE PEREZ GALAZ","5/8/2001","11/8/2003","229.000"
"D00I1078","2000","DESARROLLO DE UN SISTEMA DE GESTION DE LA VEGETACION URBANA CON FINES DE DESCONTAMINACION ATMOSFERICA Y DE APOYO A LA TOMA DE DECISIONESA NIVEL MUNICIPAL","MEDIO AMBIENTE","MANEJO ARBOLADO URBANA","ESPECIES VEGETALES","CARMEN DE LA MAZA ASQUET","4/27/2001","6/30/2004","170.000"
"D00I1080","2000","REFORMULACION DE LAS PRUEBAS DE SELECCION A LA EDUCACION SUPERIOR ","REFORMULACION","SELECCION","EDUCACION SUPERIOR","DAVID BRAVO URRUTIA","8/3/2001","8/3/2003","261.000"
