"Código","Concurso","Área ","Título","Director General"
"ID14I10335","I CONCURSO IDEA EN DOS ETAPAS; CIENCIA APLICADA (ETAPA 1)","AGROPECUARIA","VACUNA RECOMBINANTE CONTRA LA BACTERIA LAWSONIA INTRACELLULARIS, CAUSANTE DE LA ENTEROPATIA PROLIFE RATIVA PORCINA","RAQUEL MONTESINO SEGUI"
"CA12I10022","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","PESCA Y ACUICULTURA","DESARROLLO DE UN PREPARADO DE FITASA ACTIVA A BAJAS TEMPERATURAS (10-16°C) PARA SUPLEMENTAR ""IN VIVO DIETAS DE PECES CON ELEVADOS NIVELES DE PROTEÍNAS VEGETALES.","MARCIA COSTA LOBOS"
"CA12I10023","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","SALUD","DESARROLLO, PRODUCCIÓN Y CARACTERIZACIÓN DE ANTICUERPOS RECOMBINANTES DE ORIGEN HUMANO ANTI MICA CON POTENCIAL TERAPÉUTICO PARA EL TRATAMIENTO DE CÁNCER GÁSTRICO","MARIA MOLINA SAMPAYO"
"ID14I10128","I CONCURSO IDEA EN DOS ETAPAS; CIENCIA APLICADA (ETAPA 1)","AGROPECUARIA","USO DE RIZOBACTERIAS NATIVAS PARA EL CONTROL ESPECIFICO DEL NEMATODO DORADO DE LA PAPA GLOBODERA ROS TOCHIENSIS","ERWIN ABALLAY ESPINOZA"
"CA12I10047","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","PESCA Y ACUICULTURA","DESARROLLO DE UNA MALLA DE CULTIVO ANTIFOULING PARA LA INDUSTRIA ACUÍCOLA BASADA EN POLÍMEROS CON PARTÍCULAS DE COBRE","HUMBERTO PALZA CORDERO"
"ID15I10417","II CONCURSO IDEA EN DOS ETAPAS, DE FONDEF DE CONICYT 2015","AGROPECUARIA","STEINERNEMA SP. AISLAMIENTO LICáN RAY: DESARROLLO DE UNA ALTERNATIVA PARA EL CONTROL BIOLóGICO DEL G USANO CORTADOR AGROTIS IPSILON, PLAGA DE LAS PRINCIPALES HORTALIZAS Y CULTIVOS EN CHILE","GABRIELA LANKIN VEGA"
"CA12I10061","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","PLATAFORMA INFORMÁTICA BASADA EN WEB-INTELLIGENCE Y HERRAMIENTAS DE ANÁLISIS DE EXPLORACIÓN VISUAL PARA LA MEJORA DE LA ESTRUCTURA Y CONTENIDO DE SITIOS WEB (AKORI: ADVANCED KERNEL FOR OCULAR RESEARCH AND WEB INTELLIGENCE)","JUAN VELASQUEZ SILVA"
"CA12I10075","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","EDUCACION Y CIENCIAS SOCIALES","CIENCIAS INTEGRADAS: UNA PROPUESTA DE APOYO A LA EDUCACIÓN FORMAL DE CIENCIAS EN LOS NIVELES DE 1º A 4º DE EDUCACIÓN GENERAL BÁSICA","LUIS BARRERA SALAS"
"CA12I10076","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","EDUCACION Y CIENCIAS SOCIALES","MODELO DE EVALUACIÓN DE CONDICIONES PARA EL EJERCICIO DE LA PARENTALIDAD (MECEP). EN EL MARCO DE LA POLÍTICA DE PROTECCIÓN DE DERECHOS DE LA INFANCIA","MAGALY CABROLIE VARGAS"
"CA12I10081","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","iTEXT ROUTING: RECONOCIMIENTO INTELIGENTE DE LAS INTENCIONES DEL USUARIOS PARA ENRUTAMIENTO DE LLAMDAS EN CALL CENTERS UTILIZANDO  TÉCNICAS DE ANÁLISIS SEMÁNTICO DE LENGUAJE NATURAL Y MÉTODOS DE APRENDIZAJE AUTOMÁTICO","JOHN ATKINSON ABUTRIDY"
"CA12I10322","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","AGROPECUARIA","SISTEMA FILTRANTE Y DESMETALIZANTE BASADO EN FIBRAS VEGETALES PARA VINOS. UN APORTE A LA CALIDAD DE LOS VINOS CHILENOS","JOSE NEIRA HINOJOSA"
"ID16I10196","III CONCURSO IDEA EN DOS ETAPAS 2016","AGROPECUARIA","SISTEMA DE PREDICCIÓN TEMPRANA DE LA ENFERMEDAD DE OJO DE BUEY EN MANZANAS DE EXPORTACIÓN DE LA VARI EDAD CRIPPS PINK","JOSE REYES SUAREZ"
"CA12I10110","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","SALUD","DISEÑO DE UNA FORMULACIÓN PARA USO FARMACÉUTICO EFECTIVA CONTRA BACTERIAS MULTIRRESISTENTES DE IMPOR TANCIA MÉDICA","GUIDO MORA LONGA"
"CA12I10113","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","EDUCACION Y CIENCIAS SOCIALES","GESTIÓN DE CALIDAD DE CAPACIDADES ORGANIZACIONALES DE FUNDACIONES Y CORPORACIONES DE EMPRENDIMIENTOS SOLIDARIOS","REGINA FUNK BUNTEMEYER"
"CA12I10116","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","MANUFACTURA","DETERMINACIÓN DE DOSIS DE RADIACIÓN APLICADA A ALIMENTOS POR RESONANCIA DE SPIN ELECTRÓNICA  (ESR)","ALEJANDRO CABRERA OYARZUN"
"IT13I20045","II CONCURSO INVESTIGACIÓN TECNOLÓGICA PROGRAMA IDEA","AGROPECUARIA","SELECCIÓN Y REGISTRO DE NUEVAS VARIEDADES DE FRAMBUESA DESARROLLADAS EN CHILE","MARINA GAMBARDELLA CASANOVA"
"CA12I10120","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","SALUD","ESTIMULACIÓN DE LA RECUPERACIÓN LOCOMOTORA LUEGO DEL DAÑO A LA MEDULA ESPINAL UTILIZANDO ACTIVADORES VESICULARES DERIVADOS DE CÉLULAS GLIALES PERIFÉRICAS","FELIPE COURT GOLDSMITH"
"IT15I10048","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","AGROPECUARIA","REDOXCELL: UNA PLATAFORMA PARA EL REGISTRO DEL IMPACTO ANTIOXIDANTE EN CÉLULAS VIVAS","OMAR PORRAS ESPINOZA"
"CA12I10134","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","FORESTAL","EVALUACIÓN DE TÉCNICAS DE MULTIPLICACIÓN DE CYTTARIA ESPINOSAE Y GRIFOLA GARGAL Y DE SUS CAPACIDADES ANTIOXIDANTES, ANTICANCERÍGENAS Y ANTIMICROBIANAS FRENTE A PATÓGENOS DE INTERÉS CLÍNICO Y AGRÍCOLA","MARIBEL PARADA IBAÑEZ"
"CA12I10119","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","AGROPECUARIA","RECUPERACIÓN DE AROMAS DURANTE LA FERMENTACIÓN ENOLÓGICA Y SU IMPACTO EN LA CAPACIDAD PRODUCTIVA Y LA ELABORACIÓN DE VINOS DIFERENCIADOS AROMÁTICAMENTE.","JOSE PEREZ CORREA"
"CA12I10150","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","SALUD","IDENTIFICACIÓN Y DESARROLLO DE INHIBIDORES DE LA ENZIMA 11BETA-HSD1 PARA EL TRATAMIENTO DE LA HIPERTENSIÓN ARTERIAL Y EL SINDROME METABÓLICO","CARLOS FARDELLA BELLO"
"CA12I10152","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","SALUD","PANEL DE MUTACIONES RECURRENTES EN CHILE EN LOS GENES BRCA1 Y BRCA2 EN PACIENTES CON CANCER DE MAMA Y/U OVARIO HEREDITARIO. DISEÑO DE UN SISTEMA COMERCIAL PARA DIAGNÓSTICO GENETICO EN PACIENTES CHILENAS","PILAR CARVALLO DE SAINT-QUENTIN"
"CA12I10167","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","MANUFACTURA","DISEÑO E IMPLEMENTACIÓN DE UN NUEVO MANIPULADOR ROBÓTICO REDUNDANTE DE 7 GDL PARA SISTEMAS MINEROS E INDUSTRIALES TOLERANTES A FALLAS","ELEUTERIO URREA ONATE"
"CA12I10186","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","MANUFACTURA","DESARROLLO DE BARRAS INTERCELDA MODULADORAS DE CORRIENTE (BMC) PARA ELECTRO OBTENCIÓN DE COBRE","EDUARDO WIECHMANN FERNANDEZ"
"CA12I10205","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","MINERIA","USO INTELIGENTE DE GASES PARA MEJORAR LA RECUPERACIÓN EN CELDAS DE FLOTACIÓN: APLICACIÓN A CONCENTRADORAS DE COBRE Y MOLIBDENO","GONZALO MONTES ATENAS"
